date,ticker,alerted_at_utc,move_pct
2026-08-24,AMD,15:12:18,-3.41
2026-08-24,TSLA,19:16:17,-3.97
2026-08-25,AMD,15:27:38,5.53
2026-08-31,TSLA,14:01:28,3.46
2026-08-31,AMZN,18:01:39,-3.02
2026-09-01,TSLA,13:34:43,-3.09
2026-09-01,AMD,14:23:51,-3.32
2026-09-01,AAPL,16:25:35,3.17
2026-09-02,META,14:22:57,3.21
2026-09-02,NVDA,15:07:03,3.63
2026-09-03,TSLA,13:35:02,3.92
2026-09-03,AVGO,13:35:02,-4.64
2026-09-03,META,13:49:36,3.19
2026-09-03,MSFT,14:24:31,3.03
2026-09-04,TSLA,13:35:19,-3.89
2026-09-04,AMD,14:01:48,3.39
2026-09-04,NFLX,15:23:20,-3.21
2026-09-08,AMD,13:37:23,4.07
2026-09-08,AVGO,13:37:23,3.34
2026-09-08,TSLA,14:25:49,3.09
2026-09-09,META,13:37:30,4.99
2026-09-09,AMD,13:50:59,3.2
2026-09-10,AMD,16:22:45,-3.07
2026-09-11,AMD,14:01:36,3.55
2026-09-11,GOOGL,15:22:59,3.33
2026-09-14,NVDA,13:40:00,-4.12
2026-09-14,AMD,13:40:00,-6.3
2026-09-14,NFLX,13:40:00,3.31
2026-09-14,AVGO,13:40:00,-4.12
2026-09-14,GOOGL,17:35:16,3.18
2026-09-14,META,18:25:58,3.03
2026-09-15,AMD,14:01:55,3.7
2026-09-15,NFLX,14:24:08,-3.13
2026-09-16,AMD,14:02:30,3.53
2026-09-17,AMD,14:01:34,3.91
2026-09-17,TSLA,14:25:17,3.15
2026-09-18,NFLX,17:03:49,-4.86
2026-09-21,AMD,18:21:19,9.18
2026-09-21,META,18:21:19,11.27
2026-09-23,GOOGL,17:31:42,-3.86
2026-09-23,AVGO,17:31:42,-3.12
